,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,x_t,perf
0,295665,Macbook Pro Laptop,1,1700,12/30/19 00:01,"136 Church St, New York City, NY 10001",53,65
1,295666,LG Washing Machine,1,600.0,12/29/19 07:03,"562 2nd St, New York City, NY 10001",87,90
2,295667,USB-C Charging Cable,1,11.95,12/12/19 18:21,"277 Main St, New York City, NY 10001",6,92
3,295668,27in FHD Monitor,1,149.99,12/22/19 15:13,"410 6th St, San Francisco, CA 94016",40,76
4,295669,USB-C Charging Cable,1,11.95,12/18/19 12:38,"43 Hill St, Atlanta, GA 30301",75,94
5,295670,AA Batteries (4-pack),1,3.84,12/31/19 22:58,"200 Jefferson St, New York City, NY 10001",69,23
6,295671,USB-C Charging Cable,1,11.95,12/16/19 15:10,"928 12th St, Portland, OR 97035",76,93
7,295672,USB-C Charging Cable,2,11.95,12/13/19 09:29,"813 Hickory St, Dallas, TX 75001",15,35
8,295673,Bose SoundSport Headphones,1,99.99,12/15/19 23:26,"718 Wilson St, Dallas, TX 75001",6,50
9,295674,AAA Batteries (4-pack),4,2.99,12/28/19 11:51,"77 7th St, Dallas, TX 75001",56,50
10,295675,USB-C Charging Cable,2,11.95,12/13/19 13:52,"594 1st St, San Francisco, CA 94016",84,13
11,295676,ThinkPad Laptop,1,999.99,12/28/19 17:19,"410 Lincoln St, Los Angeles, CA 90001",24,15
12,295677,AA Batteries (4-pack),2,3.84,12/20/19 19:19,"866 Pine St, Boston, MA 02215",19,50
13,295678,AAA Batteries (4-pack),2,2.99,12/06/19 09:38,"187 Lincoln St, Dallas, TX 75001",63,29
14,295679,USB-C Charging Cable,1,11.95,12/25/19 09:39,"902 2nd St, Dallas, TX 75001",37,73
15,295680,Lightning Charging Cable,1,14.95,12/01/19 14:30,"338 Main St, Austin, TX 73301",45,95
16,295681,Google Phone,1,600,12/25/19 12:37,"79 Elm St, Boston, MA 02215",51,39
17,295681,USB-C Charging Cable,1,11.95,12/25/19 12:37,"79 Elm St, Boston, MA 02215",76,46
18,295681,Bose SoundSport Headphones,1,99.99,12/25/19 12:37,"79 Elm St, Boston, MA 02215",8,77
19,295681,Wired Headphones,1,11.99,12/25/19 12:37,"79 Elm St, Boston, MA 02215",28,63
20,295682,USB-C Charging Cable,1,11.95,12/23/19 19:25,"780 Elm St, Portland, OR 97035",23,83
21,295683,Wired Headphones,1,11.99,12/23/19 22:46,"341 Lake St, San Francisco, CA 94016",96,54
22,295684,AAA Batteries (4-pack),4,2.99,12/04/19 12:29,"936 Church St, San Francisco, CA 94016",16,28
23,295685,Wired Headphones,1,11.99,12/11/19 22:54,"662 Ridge St, San Francisco, CA 94016",52,61
24,295686,USB-C Charging Cable,1,11.95,12/17/19 16:10,"573 Maple St, Portland, ME 04101",56,16
25,295687,Apple Airpods Headphones,1,150,12/10/19 00:38,"531 Ridge St, Boston, MA 02215",91,36
26,295688,Apple Airpods Headphones,1,150,12/08/19 11:21,"546 Park St, Los Angeles, CA 90001",44,40
27,295689,LG Washing Machine,1,600.0,12/24/19 11:21,"173 Lake St, San Francisco, CA 94016",57,47
28,295690,Apple Airpods Headphones,1,150,12/04/19 00:44,"174 Cedar St, Seattle, WA 98101",77,66
29,295691,Bose SoundSport Headphones,1,99.99,12/22/19 18:34,"102 Johnson St, Los Angeles, CA 90001",0,47
30,295692,AA Batteries (4-pack),2,3.84,12/14/19 01:21,"640 Cherry St, Los Angeles, CA 90001",59,19
31,295693,Wired Headphones,1,11.99,12/16/19 16:40,"856 12th St, Atlanta, GA 30301",55,96
32,295694,Lightning Charging Cable,1,14.95,12/26/19 18:18,"310 Pine St, Dallas, TX 75001",24,47
33,295695,Lightning Charging Cable,1,14.95,12/14/19 06:09,"903 Lincoln St, Boston, MA 02215",60,54
34,295696,Lightning Charging Cable,1,14.95,12/23/19 13:09,"252 Hickory St, San Francisco, CA 94016",8,95
35,295697,ThinkPad Laptop,1,999.99,12/15/19 07:38,"742 River St, San Francisco, CA 94016",57,51
36,295698,Vareebadd Phone,1,400,12/13/19 14:32,"175 1st St, New York City, NY 10001",62,89
37,295698,USB-C Charging Cable,2,11.95,12/13/19 14:32,"175 1st St, New York City, NY 10001",68,21
38,295699,AA Batteries (4-pack),1,3.84,12/17/19 18:32,"162 Maple St, Seattle, WA 98101",99,0
39,295700,Bose SoundSport Headphones,1,99.99,12/25/19 19:02,"363 Hickory St, New York City, NY 10001",52,86
40,295701,Bose SoundSport Headphones,1,99.99,12/28/19 15:05,"751 North St, San Francisco, CA 94016",16,9
41,295702,Wired Headphones,2,11.99,12/21/19 18:50,"628 River St, Austin, TX 73301",28,65
42,295703,AA Batteries (4-pack),1,3.84,12/17/19 12:27,"502 Jefferson St, Austin, TX 73301",78,4
43,295703,Bose SoundSport Headphones,1,99.99,12/17/19 12:27,"502 Jefferson St, Austin, TX 73301",81,62
44,295704,Wired Headphones,1,11.99,12/12/19 00:20,"457 8th St, New York City, NY 10001",68,8
45,295705,Wired Headphones,1,11.99,12/25/19 10:41,"133 Jackson St, New York City, NY 10001",21,69
46,295706,AAA Batteries (4-pack),3,2.99,12/12/19 20:08,"599 Hill St, Los Angeles, CA 90001",18,38
47,295707,Lightning Charging Cable,1,14.95,12/07/19 11:01,"547 Ridge St, San Francisco, CA 94016",13,61
48,295708,27in FHD Monitor,1,149.99,12/13/19 14:55,"846 9th St, Boston, MA 02215",94,56
49,295709,Bose SoundSport Headphones,1,99.99,12/25/19 16:38,"662 6th St, San Francisco, CA 94016",48,26
50,295710,AAA Batteries (4-pack),1,2.99,12/26/19 19:09,"729 Pine St, Atlanta, GA 30301",18,73
51,295711,AAA Batteries (4-pack),2,2.99,12/04/19 13:43,"489 Johnson St, San Francisco, CA 94016",15,35
52,295712,Macbook Pro Laptop,1,1700,12/10/19 20:02,"331 Madison St, New York City, NY 10001",13,82
53,295713,Bose SoundSport Headphones,1,99.99,12/24/19 07:55,"490 Spruce St, New York City, NY 10001",83,29
54,295714,iPhone,1,700,12/31/19 07:39,"826 Hickory St, Los Angeles, CA 90001",55,77
55,295715,USB-C Charging Cable,2,11.95,12/17/19 18:20,"169 Maple St, Seattle, WA 98101",23,40
56,295716,20in Monitor,1,109.99,12/03/19 23:28,"593 9th St, Los Angeles, CA 90001",84,61
57,295717,Macbook Pro Laptop,1,1700,12/25/19 09:51,"82 10th St, San Francisco, CA 94016",47,77
58,295718,Lightning Charging Cable,1,14.95,12/27/19 17:25,"785 Chestnut St, San Francisco, CA 94016",74,89
59,295719,27in FHD Monitor,1,149.99,12/24/19 18:51,"334 2nd St, Los Angeles, CA 90001",46,74
60,295720,AA Batteries (4-pack),1,3.84,12/17/19 22:52,"298 Ridge St, New York City, NY 10001",82,74
61,295721,34in Ultrawide Monitor,1,379.99,12/08/19 18:22,"915 1st St, Seattle, WA 98101",8,22
62,295722,Wired Headphones,1,11.99,12/08/19 23:46,"380 Lake St, San Francisco, CA 94016",0,24
63,295723,AA Batteries (4-pack),1,3.84,12/07/19 13:59,"530 Walnut St, Los Angeles, CA 90001",68,59
64,295724,AA Batteries (4-pack),2,3.84,12/03/19 14:19,"570 Walnut St, Dallas, TX 75001",1,48
65,295725,AAA Batteries (4-pack),3,2.99,12/05/19 15:01,"911 River St, San Francisco, CA 94016",35,5
66,295726,iPhone,1,700,12/25/19 14:49,"203 Lakeview St, Boston, MA 02215",51,51
67,295726,Lightning Charging Cable,1,14.95,12/25/19 14:49,"203 Lakeview St, Boston, MA 02215",50,31
68,295727,Bose SoundSport Headphones,1,99.99,12/14/19 14:03,"5 Dogwood St, San Francisco, CA 94016",36,56
69,295728,27in FHD Monitor,1,149.99,12/21/19 19:21,"366 Washington St, New York City, NY 10001",48,89
70,295729,34in Ultrawide Monitor,1,379.99,12/28/19 21:58,"432 1st St, Dallas, TX 75001",75,66
71,295730,34in Ultrawide Monitor,1,379.99,12/14/19 20:04,"574 West St, San Francisco, CA 94016",99,98
72,295731,USB-C Charging Cable,1,11.95,12/16/19 11:47,"33 9th St, San Francisco, CA 94016",22,87
73,295732,Apple Airpods Headphones,1,150,12/29/19 18:44,"860 Washington St, Boston, MA 02215",10,64
74,295733,27in FHD Monitor,1,149.99,12/20/19 11:31,"228 5th St, Boston, MA 02215",82,90
75,295734,AAA Batteries (4-pack),1,2.99,12/25/19 12:38,"453 Jackson St, Portland, OR 97035",1,32
76,295735,iPhone,1,700,12/22/19 18:25,"374 Lincoln St, New York City, NY 10001",60,34
77,295735,Apple Airpods Headphones,1,150,12/22/19 18:25,"374 Lincoln St, New York City, NY 10001",47,21
78,295735,Wired Headphones,1,11.99,12/22/19 18:25,"374 Lincoln St, New York City, NY 10001",79,23
