,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,x_t,perf
0,222910,Apple Airpods Headphones,1,150,07/26/19 16:51,"389 South St, Atlanta, GA 30301",5,62
1,222911,Flatscreen TV,1,300,07/05/19 08:55,"590 4th St, Seattle, WA 98101",29,68
2,222912,AA Batteries (4-pack),1,3.84,07/29/19 12:41,"861 Hill St, Atlanta, GA 30301",19,29
3,222913,AA Batteries (4-pack),1,3.84,07/28/19 10:15,"190 Ridge St, Atlanta, GA 30301",40,40
4,222914,AAA Batteries (4-pack),5,2.99,07/31/19 02:13,"824 Forest St, Seattle, WA 98101",92,0
5,222915,Bose SoundSport Headphones,1,99.99,07/03/19 18:30,"899 Elm St, San Francisco, CA 94016",40,14
6,222916,Google Phone,1,600,07/21/19 22:39,"745 Chestnut St, New York City, NY 10001",71,13
7,222917,LG Dryer,1,600.0,07/17/19 13:44,"490 Adams St, New York City, NY 10001",64,84
8,222918,USB-C Charging Cable,1,11.95,07/14/19 21:16,"207 1st St, Los Angeles, CA 90001",54,54
9,222919,Lightning Charging Cable,1,14.95,07/14/19 13:24,"29 Jefferson St, Dallas, TX 75001",34,19
10,222920,AA Batteries (4-pack),1,3.84,07/30/19 04:42,"590 6th St, San Francisco, CA 94016",64,92
11,222921,Lightning Charging Cable,1,14.95,07/02/19 11:04,"960 Willow St, San Francisco, CA 94016",40,15
12,222922,34in Ultrawide Monitor,1,379.99,07/20/19 21:12,"616 Chestnut St, Dallas, TX 75001",4,5
13,222923,AAA Batteries (4-pack),1,2.99,07/05/19 12:16,"105 Johnson St, Los Angeles, CA 90001",58,62
14,222924,Bose SoundSport Headphones,1,99.99,07/13/19 20:46,"444 Spruce St, San Francisco, CA 94016",13,47
15,222925,Apple Airpods Headphones,1,150,07/09/19 02:59,"764 Adams St, San Francisco, CA 94016",48,74
16,222926,Lightning Charging Cable,2,14.95,07/15/19 17:44,"577 Lakeview St, Los Angeles, CA 90001",90,27
17,222927,Wired Headphones,1,11.99,07/31/19 20:34,"244 Washington St, Los Angeles, CA 90001",77,0
18,222928,Google Phone,1,600,07/15/19 17:18,"524 Cherry St, San Francisco, CA 94016",99,10
19,222929,Vareebadd Phone,1,400,07/04/19 19:46,"882 Hickory St, Boston, MA 02215",26,81
20,222930,Lightning Charging Cable,1,14.95,07/20/19 20:57,"826 River St, San Francisco, CA 94016",95,76
21,222931,USB-C Charging Cable,1,11.95,07/18/19 09:21,"145 Pine St, Boston, MA 02215",80,78
22,222932,Wired Headphones,1,11.99,07/24/19 17:32,"386 Cedar St, Los Angeles, CA 90001",68,27
23,222933,LG Dryer,1,600.0,07/30/19 13:20,"76 2nd St, Los Angeles, CA 90001",90,35
24,222934,AA Batteries (4-pack),2,3.84,07/03/19 23:51,"437 River St, Seattle, WA 98101",36,92
25,222935,AAA Batteries (4-pack),1,2.99,07/23/19 12:20,"118 9th St, San Francisco, CA 94016",12,94
26,222936,27in FHD Monitor,1,149.99,07/04/19 12:29,"483 West St, Boston, MA 02215",68,44
27,222937,Lightning Charging Cable,2,14.95,07/03/19 09:01,"538 North St, San Francisco, CA 94016",61,69
28,222938,Flatscreen TV,1,300,07/20/19 17:49,"523 Hickory St, Dallas, TX 75001",1,91
29,222939,Apple Airpods Headphones,1,150,07/17/19 21:53,"597 Madison St, Los Angeles, CA 90001",53,58
30,222940,Wired Headphones,2,11.99,07/05/19 15:06,"779 Maple St, San Francisco, CA 94016",71,72
31,222941,Apple Airpods Headphones,1,150,07/02/19 05:48,"631 Willow St, San Francisco, CA 94016",89,6
32,222942,Lightning Charging Cable,1,14.95,07/07/19 10:00,"424 Church St, Portland, OR 97035",78,43
