,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,x_t,perf
0,162009,iPhone,1,700,03/28/19 20:59,"942 Church St, Austin, TX 73301",52,4
1,162009,Lightning Charging Cable,1,14.95,03/28/19 20:59,"942 Church St, Austin, TX 73301",7,44
2,162009,Wired Headphones,2,11.99,03/28/19 20:59,"942 Church St, Austin, TX 73301",6,16
3,162010,Bose SoundSport Headphones,1,99.99,03/17/19 05:39,"261 10th St, San Francisco, CA 94016",23,47
4,162011,34in Ultrawide Monitor,1,379.99,03/10/19 00:01,"764 13th St, San Francisco, CA 94016",78,11
5,162012,AA Batteries (4-pack),1,3.84,03/20/19 21:33,"187 Ridge St, San Francisco, CA 94016",93,20
6,162013,34in Ultrawide Monitor,1,379.99,03/15/19 23:05,"904 Main St, Austin, TX 73301",63,77
7,162014,USB-C Charging Cable,1,11.95,03/01/19 21:33,"10 13th St, San Francisco, CA 94016",2,34
8,162015,AA Batteries (4-pack),1,3.84,03/02/19 08:52,"949 Jefferson St, Boston, MA 02215",36,49
9,162016,AAA Batteries (4-pack),5,2.99,03/19/19 21:10,"469 Highland St, Atlanta, GA 30301",63,62
10,162017,Lightning Charging Cable,1,14.95,03/02/19 13:55,"449 River St, San Francisco, CA 94016",34,52
11,162018,USB-C Charging Cable,2,11.95,03/18/19 11:07,"925 Maple St, Portland, OR 97035",15,94
12,162019,AAA Batteries (4-pack),1,2.99,03/05/19 12:20,"639 4th St, Atlanta, GA 30301",90,74
13,162020,LG Washing Machine,1,600.0,03/26/19 18:17,"616 Jackson St, Dallas, TX 75001",38,35
14,162021,Wired Headphones,1,11.99,03/30/19 12:02,"645 Wilson St, Los Angeles, CA 90001",74,45
15,162022,AA Batteries (4-pack),1,3.84,03/17/19 22:18,"473 Hill St, New York City, NY 10001",83,27
16,162023,Apple Airpods Headphones,1,150,03/11/19 20:00,"404 Park St, San Francisco, CA 94016",62,3
17,162024,27in 4K Gaming Monitor,1,389.99,03/17/19 09:22,"952 Willow St, Atlanta, GA 30301",56,50
18,162025,AAA Batteries (4-pack),1,2.99,03/07/19 20:50,"110 7th St, Boston, MA 02215",21,22
19,162026,iPhone,1,700,03/22/19 22:31,"71 Pine St, Austin, TX 73301",55,72
20,162027,AAA Batteries (4-pack),1,2.99,03/16/19 20:52,"421 Main St, Los Angeles, CA 90001",54,74
21,162028,AAA Batteries (4-pack),3,2.99,03/20/19 15:23,"739 1st St, San Francisco, CA 94016",12,72
22,162029,AAA Batteries (4-pack),1,2.99,03/26/19 12:17,"141 North St, Atlanta, GA 30301",39,7
23,162030,Google Phone,1,600,03/09/19 16:50,"463 4th St, San Francisco, CA 94016",98,42
24,162031,Lightning Charging Cable,1,14.95,03/28/19 17:03,"131 Johnson St, Boston, MA 02215",38,20
25,162032,Lightning Charging Cable,1,14.95,03/31/19 10:39,"498 4th St, Los Angeles, CA 90001",82,5
26,162033,iPhone,1,700,03/19/19 11:06,"267 Johnson St, Dallas, TX 75001",35,45
27,162034,USB-C Charging Cable,1,11.95,03/26/19 20:34,"104 Center St, Seattle, WA 98101",70,72
28,162035,Macbook Pro Laptop,1,1700,03/08/19 13:07,"44 4th St, Los Angeles, CA 90001",26,49
29,162036,Lightning Charging Cable,1,14.95,03/09/19 19:39,"905 Spruce St, San Francisco, CA 94016",7,72
30,162037,iPhone,1,700,03/23/19 02:11,"277 Elm St, Los Angeles, CA 90001",90,29
31,162037,Lightning Charging Cable,1,14.95,03/23/19 02:11,"277 Elm St, Los Angeles, CA 90001",2,19
32,162038,AAA Batteries (4-pack),2,2.99,03/18/19 20:31,"53 10th St, Atlanta, GA 30301",54,49
33,162039,AA Batteries (4-pack),1,3.84,03/29/19 12:01,"175 West St, San Francisco, CA 94016",44,55
34,162040,USB-C Charging Cable,1,11.95,03/25/19 09:11,"973 North St, Austin, TX 73301",82,68
35,162041,Apple Airpods Headphones,1,150,03/14/19 01:01,"633 13th St, Austin, TX 73301",1,65
36,162042,USB-C Charging Cable,1,11.95,03/09/19 22:39,"661 7th St, San Francisco, CA 94016",86,49
37,162043,AA Batteries (4-pack),1,3.84,03/29/19 10:59,"883 Walnut St, Atlanta, GA 30301",68,43
38,162044,27in FHD Monitor,1,149.99,03/22/19 10:11,"469 9th St, Dallas, TX 75001",99,28
39,162045,Apple Airpods Headphones,1,150,03/26/19 13:31,"906 Park St, New York City, NY 10001",42,25
40,162046,AAA Batteries (4-pack),2,2.99,03/20/19 20:33,"661 1st St, San Francisco, CA 94016",88,46
41,162047,Bose SoundSport Headphones,1,99.99,03/08/19 18:41,"819 9th St, Austin, TX 73301",69,63
42,162048,AA Batteries (4-pack),1,3.84,03/31/19 19:24,"819 Main St, New York City, NY 10001",76,66
43,162049,Lightning Charging Cable,1,14.95,03/25/19 13:35,"307 Chestnut St, Austin, TX 73301",69,47
44,162050,AAA Batteries (4-pack),1,2.99,03/26/19 17:09,"870 Spruce St, Boston, MA 02215",81,51
45,162051,AAA Batteries (4-pack),1,2.99,03/12/19 09:12,"565 South St, Boston, MA 02215",41,3
46,162052,Wired Headphones,1,11.99,03/11/19 09:44,"971 Washington St, Los Angeles, CA 90001",94,3
47,162053,iPhone,1,700,03/10/19 18:29,"660 7th St, Seattle, WA 98101",23,50
48,162054,Wired Headphones,1,11.99,03/20/19 00:42,"358 5th St, San Francisco, CA 94016",55,56
49,162055,AA Batteries (4-pack),1,3.84,03/29/19 09:21,"675 8th St, Los Angeles, CA 90001",19,35
50,162056,Wired Headphones,1,11.99,03/17/19 10:24,"55 Adams St, San Francisco, CA 94016",68,78
51,162057,Wired Headphones,1,11.99,03/30/19 18:44,"485 Maple St, Los Angeles, CA 90001",21,73
52,162058,27in FHD Monitor,1,149.99,03/30/19 02:30,"510 Church St, New York City, NY 10001",25,10
53,162059,USB-C Charging Cable,1,11.95,03/03/19 05:47,"602 Willow St, Seattle, WA 98101",53,7
54,162060,AAA Batteries (4-pack),3,2.99,03/10/19 16:04,"703 Lake St, Seattle, WA 98101",19,42
55,162061,Wired Headphones,1,11.99,03/01/19 22:07,"967 10th St, New York City, NY 10001",17,74
56,162062,AAA Batteries (4-pack),1,2.99,03/24/19 03:37,"235 Park St, Portland, OR 97035",62,67
57,162063,AAA Batteries (4-pack),2,2.99,03/02/19 11:58,"693 12th St, Austin, TX 73301",57,11
58,162064,Macbook Pro Laptop,1,1700,03/05/19 09:00,"414 Willow St, San Francisco, CA 94016",4,17
59,162065,Google Phone,1,600,03/02/19 13:18,"862 Spruce St, San Francisco, CA 94016",3,17
60,162066,AA Batteries (4-pack),1,3.84,03/13/19 13:57,"602 Pine St, New York City, NY 10001",25,18
61,162066,USB-C Charging Cable,2,11.95,03/13/19 13:57,"602 Pine St, New York City, NY 10001",81,93
62,162067,ThinkPad Laptop,1,999.99,03/07/19 23:40,"4 Cedar St, San Francisco, CA 94016",29,48
63,162068,Wired Headphones,1,11.99,03/24/19 12:25,"117 1st St, Austin, TX 73301",2,98
64,162069,AA Batteries (4-pack),1,3.84,03/15/19 16:53,"853 Park St, Boston, MA 02215",7,17
65,162070,27in FHD Monitor,1,149.99,03/15/19 18:19,"859 South St, Los Angeles, CA 90001",14,39
66,162071,Vareebadd Phone,1,400,03/30/19 20:23,"334 Jackson St, Atlanta, GA 30301",38,95
67,162071,USB-C Charging Cable,1,11.95,03/30/19 20:23,"334 Jackson St, Atlanta, GA 30301",97,72
68,162072,AA Batteries (4-pack),1,3.84,03/02/19 12:04,"945 Adams St, New York City, NY 10001",80,59
69,162073,Bose SoundSport Headphones,1,99.99,03/23/19 20:52,"573 Lakeview St, San Francisco, CA 94016",20,0
70,162074,Apple Airpods Headphones,1,150,03/05/19 12:45,"928 Dogwood St, San Francisco, CA 94016",45,8
71,162075,Apple Airpods Headphones,1,150,03/11/19 09:19,"456 7th St, New York City, NY 10001",18,60
72,162076,Wired Headphones,1,11.99,03/04/19 09:12,"424 Wilson St, Dallas, TX 75001",84,99
73,162077,AAA Batteries (4-pack),1,2.99,03/22/19 11:54,"783 Johnson St, New York City, NY 10001",35,84
74,162078,Lightning Charging Cable,1,14.95,03/02/19 16:48,"167 North St, San Francisco, CA 94016",51,6
75,162079,Google Phone,1,600,03/24/19 21:36,"144 West St, Los Angeles, CA 90001",23,12
76,162080,Apple Airpods Headphones,1,150,03/24/19 09:37,"245 Chestnut St, Boston, MA 02215",75,87
77,162081,Lightning Charging Cable,1,14.95,03/26/19 20:58,"183 Dogwood St, Los Angeles, CA 90001",73,61
78,162082,Vareebadd Phone,1,400,03/09/19 14:15,"401 Wilson St, New York City, NY 10001",6,6
79,162082,Wired Headphones,1,11.99,03/09/19 14:15,"401 Wilson St, New York City, NY 10001",7,7
80,162083,Wired Headphones,1,11.99,03/27/19 19:04,"162 Lakeview St, Atlanta, GA 30301",98,90
81,162084,iPhone,1,700,03/27/19 12:53,"585 14th St, Los Angeles, CA 90001",18,21
82,162085,Lightning Charging Cable,1,14.95,03/24/19 19:52,"705 Highland St, San Francisco, CA 94016",39,20
83,162086,Google Phone,1,600,03/18/19 09:12,"410 Chestnut St, New York City, NY 10001",96,70
84,162087,Google Phone,1,600,03/18/19 13:58,"303 Chestnut St, Boston, MA 02215",25,89
85,162087,USB-C Charging Cable,1,11.95,03/18/19 13:58,"303 Chestnut St, Boston, MA 02215",69,29
86,162088,Google Phone,1,600,03/02/19 15:50,"231 Jackson St, Los Angeles, CA 90001",20,57
87,162089,Wired Headphones,1,11.99,03/07/19 12:25,"692 13th St, New York City, NY 10001",90,23
88,162090,Bose SoundSport Headphones,1,99.99,03/12/19 13:03,"747 Wilson St, Austin, TX 73301",52,78
89,162091,Bose SoundSport Headphones,1,99.99,03/18/19 08:13,"926 Main St, Boston, MA 02215",30,29
90,162092,Flatscreen TV,1,300,03/18/19 11:29,"477 11th St, Seattle, WA 98101",82,39
91,162092,AAA Batteries (4-pack),1,2.99,03/18/19 11:29,"477 11th St, Seattle, WA 98101",87,14
92,162093,Vareebadd Phone,1,400,03/19/19 11:32,"855 Lakeview St, Boston, MA 02215",56,66
93,162094,ThinkPad Laptop,1,999.99,03/21/19 03:42,"959 River St, Atlanta, GA 30301",69,14
94,162095,Wired Headphones,1,11.99,03/29/19 13:18,"628 Lakeview St, Seattle, WA 98101",30,98
95,162096,Bose SoundSport Headphones,1,99.99,03/04/19 00:20,"323 Hill St, New York City, NY 10001",32,9
