,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,x_t,perf
0,278797,Wired Headphones,1,11.99,11/21/19 09:54,"46 Park St, New York City, NY 10001",93,34
1,278798,USB-C Charging Cable,2,11.95,11/17/19 10:03,"962 Hickory St, Austin, TX 73301",47,34
2,278799,Apple Airpods Headphones,1,150.0,11/19/19 14:56,"464 Cherry St, Los Angeles, CA 90001",75,33
3,278800,27in FHD Monitor,1,149.99,11/25/19 22:24,"649 10th St, Seattle, WA 98101",80,71
4,278801,Bose SoundSport Headphones,1,99.99,11/09/19 13:56,"522 Hill St, Boston, MA 02215",92,42
5,278802,USB-C Charging Cable,1,11.95,11/14/19 20:34,"154 2nd St, San Francisco, CA 94016",74,8
6,278803,Lightning Charging Cable,1,14.95,11/11/19 08:05,"724 5th St, San Francisco, CA 94016",88,49
7,278804,Bose SoundSport Headphones,1,99.99,11/15/19 11:48,"866 Sunset St, Austin, TX 73301",58,39
8,278805,Lightning Charging Cable,1,14.95,11/27/19 11:50,"670 Elm St, San Francisco, CA 94016",71,36
9,278806,Bose SoundSport Headphones,1,99.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215",54,26
10,278806,ThinkPad Laptop,1,999.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215",44,47
11,278807,ThinkPad Laptop,1,999.99,11/25/19 21:52,"240 Elm St, Austin, TX 73301",56,88
12,278808,AAA Batteries (4-pack),1,2.99,11/23/19 13:19,"155 Highland St, Boston, MA 02215",1,44
13,278809,AA Batteries (4-pack),1,3.84,11/17/19 12:38,"969 13th St, Dallas, TX 75001",54,78
14,278810,USB-C Charging Cable,1,11.95,11/03/19 16:55,"454 Cherry St, Boston, MA 02215",8,0
15,278811,Wired Headphones,1,11.99,11/06/19 16:01,"99 Elm St, San Francisco, CA 94016",79,32
16,278811,Apple Airpods Headphones,1,150.0,11/06/19 16:01,"99 Elm St, San Francisco, CA 94016",89,5
17,278812,Apple Airpods Headphones,1,150.0,11/17/19 20:08,"601 Church St, Seattle, WA 98101",10,78
18,278813,Macbook Pro Laptop,1,1700.0,11/09/19 22:40,"131 6th St, Boston, MA 02215",92,48
19,278814,AA Batteries (4-pack),3,3.84,11/16/19 16:45,"419 Hill St, Boston, MA 02215",67,59
20,278815,Lightning Charging Cable,1,14.95,11/18/19 13:06,"815 Dogwood St, New York City, NY 10001",4,69
21,278816,Lightning Charging Cable,1,14.95,11/08/19 08:58,"925 5th St, New York City, NY 10001",62,76
22,278817,USB-C Charging Cable,1,11.95,11/05/19 23:25,"503 Chestnut St, Boston, MA 02215",36,32
23,278818,USB-C Charging Cable,1,11.95,11/16/19 22:12,"541 Johnson St, New York City, NY 10001",81,98
24,278819,iPhone,1,700.0,11/04/19 06:20,"880 Maple St, New York City, NY 10001",15,0
25,278819,Apple Airpods Headphones,1,150.0,11/04/19 06:20,"880 Maple St, New York City, NY 10001",18,98
26,278820,USB-C Charging Cable,2,11.95,11/17/19 15:11,"882 Walnut St, Portland, OR 97035",28,55
27,278821,USB-C Charging Cable,1,11.95,11/25/19 16:17,"327 13th St, Dallas, TX 75001",61,55
28,278822,Bose SoundSport Headphones,1,99.99,11/20/19 08:17,"816 Park St, Atlanta, GA 30301",45,20
