,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,x_t,perf
0,141234,iPhone,1,700,01/22/19 21:25,"944 Walnut St, Boston, MA 02215",60,86
1,141235,Lightning Charging Cable,1,14.95,01/28/19 14:15,"185 Maple St, Portland, OR 97035",33,13
2,141236,Wired Headphones,2,11.99,01/17/19 13:33,"538 Adams St, San Francisco, CA 94016",36,89
3,141237,27in FHD Monitor,1,149.99,01/05/19 20:33,"738 10th St, Los Angeles, CA 90001",39,6
4,141238,Wired Headphones,1,11.99,01/25/19 11:59,"387 10th St, Austin, TX 73301",5,40
5,141239,AAA Batteries (4-pack),1,2.99,01/29/19 20:22,"775 Willow St, San Francisco, CA 94016",87,23
6,141240,27in 4K Gaming Monitor,1,389.99,01/26/19 12:16,"979 Park St, Los Angeles, CA 90001",28,16
7,141241,USB-C Charging Cable,1,11.95,01/05/19 12:04,"181 6th St, San Francisco, CA 94016",94,84
8,141242,Bose SoundSport Headphones,1,99.99,01/01/19 10:30,"867 Willow St, Los Angeles, CA 90001",81,83
9,141243,Apple Airpods Headphones,1,150,01/22/19 21:20,"657 Johnson St, San Francisco, CA 94016",62,14
10,141244,Apple Airpods Headphones,1,150,01/07/19 11:29,"492 Walnut St, San Francisco, CA 94016",18,89
11,141245,Macbook Pro Laptop,1,1700,01/31/19 10:12,"322 6th St, San Francisco, CA 94016",30,36
12,141246,AAA Batteries (4-pack),3,2.99,01/09/19 18:57,"618 7th St, Los Angeles, CA 90001",56,9
13,141247,27in FHD Monitor,1,149.99,01/25/19 19:19,"512 Wilson St, San Francisco, CA 94016",10,12
14,141248,Flatscreen TV,1,300,01/03/19 21:54,"363 Spruce St, Austin, TX 73301",94,52
15,141249,27in FHD Monitor,1,149.99,01/05/19 17:20,"440 Cedar St, Portland, OR 97035",44,10
16,141250,Vareebadd Phone,1,400,01/10/19 11:20,"471 Center St, Los Angeles, CA 90001",64,56
17,141251,Apple Airpods Headphones,1,150,01/24/19 08:13,"414 Walnut St, Boston, MA 02215",59,33
18,141252,USB-C Charging Cable,1,11.95,01/30/19 09:28,"220 9th St, Los Angeles, CA 90001",83,14
19,141253,AA Batteries (4-pack),1,3.84,01/17/19 00:09,"385 11th St, Atlanta, GA 30301",8,77
20,141254,AAA Batteries (4-pack),1,2.99,01/08/19 11:51,"238 Sunset St, Seattle, WA 98101",28,23
21,141255,USB-C Charging Cable,1,11.95,01/09/19 20:55,"764 11th St, Los Angeles, CA 90001",3,36
22,141256,Google Phone,1,600,01/29/19 10:40,"675 Washington St, Portland, OR 97035",66,37
23,141257,Apple Airpods Headphones,1,150,01/12/19 18:51,"338 Highland St, San Francisco, CA 94016",70,39
24,141258,AA Batteries (4-pack),1,3.84,01/19/19 21:47,"820 1st St, San Francisco, CA 94016",89,70
25,141259,AAA Batteries (4-pack),2,2.99,01/20/19 17:26,"920 Adams St, San Francisco, CA 94016",7,69
26,141260,AAA Batteries (4-pack),1,2.99,01/01/19 22:00,"293 Hill St, San Francisco, CA 94016",69,3
27,141261,USB-C Charging Cable,1,11.95,01/09/19 18:14,"840 Lincoln St, Atlanta, GA 30301",70,67
28,141262,AAA Batteries (4-pack),1,2.99,01/16/19 12:35,"291 Lincoln St, San Francisco, CA 94016",22,83
29,141263,Bose SoundSport Headphones,1,99.99,01/11/19 23:33,"640 Spruce St, Boston, MA 02215",31,38
30,141264,Apple Airpods Headphones,1,150,01/03/19 09:46,"937 Highland St, New York City, NY 10001",68,83
31,141265,Apple Airpods Headphones,1,150,01/01/19 16:52,"853 Ridge St, Boston, MA 02215",21,0
32,141266,27in 4K Gaming Monitor,1,389.99,01/02/19 22:21,"834 4th St, Dallas, TX 75001",78,97
33,141267,Apple Airpods Headphones,1,150,01/09/19 08:28,"649 Sunset St, Los Angeles, CA 90001",76,44
34,141268,AA Batteries (4-pack),1,3.84,01/14/19 10:13,"611 Elm St, New York City, NY 10001",86,67
35,141269,27in 4K Gaming Monitor,1,389.99,01/03/19 20:05,"812 Jefferson St, Los Angeles, CA 90001",85,47
36,141270,Wired Headphones,1,11.99,01/27/19 23:10,"469 Hill St, San Francisco, CA 94016",82,31
37,141271,USB-C Charging Cable,1,11.95,01/30/19 10:51,"90 13th St, Boston, MA 02215",30,98
38,141272,AAA Batteries (4-pack),1,2.99,01/12/19 13:09,"818 Lincoln St, New York City, NY 10001",83,76
39,141273,Wired Headphones,2,11.99,01/29/19 12:04,"994 13th St, Boston, MA 02215",89,80
40,141274,USB-C Charging Cable,1,11.95,01/17/19 11:30,"8 Jackson St, Los Angeles, CA 90001",16,90
41,141275,USB-C Charging Cable,1,11.95,01/07/19 16:06,"610 Walnut St, Austin, TX 73301",9,50
42,141275,Wired Headphones,1,11.99,01/07/19 16:06,"610 Walnut St, Austin, TX 73301",56,49
