,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,x_t,perf
0,209921,USB-C Charging Cable,1,11.95,06/23/19 19:34,"950 Walnut St, Portland, ME 04101",84,63
1,209922,Macbook Pro Laptop,1,1700.0,06/30/19 10:05,"80 4th St, San Francisco, CA 94016",21,96
2,209923,ThinkPad Laptop,1,999.99,06/24/19 20:18,"402 Jackson St, Los Angeles, CA 90001",17,87
3,209924,27in FHD Monitor,1,149.99,06/05/19 10:21,"560 10th St, Seattle, WA 98101",59,9
4,209925,Bose SoundSport Headphones,1,99.99,06/25/19 18:58,"545 2nd St, San Francisco, CA 94016",13,93
5,209926,Apple Airpods Headphones,1,150.0,06/28/19 20:04,"386 Lake St, Seattle, WA 98101",41,79
6,209927,Lightning Charging Cable,1,14.95,06/28/19 00:07,"29 Lincoln St, Los Angeles, CA 90001",55,93
7,209928,Apple Airpods Headphones,1,150.0,06/16/19 21:30,"350 9th St, New York City, NY 10001",95,16
8,209929,Wired Headphones,1,11.99,06/28/19 10:56,"612 Meadow St, Portland, OR 97035",73,94
9,209930,27in FHD Monitor,1,149.99,06/02/19 11:22,"625 Ridge St, Los Angeles, CA 90001",17,24
10,209931,Apple Airpods Headphones,1,150.0,06/24/19 13:55,"761 14th St, New York City, NY 10001",40,45
11,209932,Flatscreen TV,1,300.0,06/12/19 14:36,"858 8th St, Boston, MA 02215",29,91
12,209933,AA Batteries (4-pack),1,3.84,06/07/19 15:39,"932 Lakeview St, San Francisco, CA 94016",52,79
13,209934,AAA Batteries (4-pack),1,2.99,06/13/19 20:53,"387 Dogwood St, Boston, MA 02215",1,80
14,209935,AAA Batteries (4-pack),1,2.99,06/09/19 11:13,"530 Cedar St, Boston, MA 02215",41,51
15,209936,34in Ultrawide Monitor,1,379.99,06/15/19 12:21,"769 Dogwood St, Dallas, TX 75001",35,0
16,209937,AA Batteries (4-pack),1,3.84,06/29/19 18:01,"675 Maple St, Dallas, TX 75001",2,61
17,209938,iPhone,1,700.0,06/15/19 12:29,"766 Meadow St, Seattle, WA 98101",87,90
18,209938,Wired Headphones,1,11.99,06/15/19 12:29,"766 Meadow St, Seattle, WA 98101",43,10
19,209939,Google Phone,1,600.0,06/08/19 16:55,"313 South St, San Francisco, CA 94016",11,12
20,209940,34in Ultrawide Monitor,1,379.99,06/26/19 15:24,"990 South St, Atlanta, GA 30301",45,92
21,209941,Wired Headphones,1,11.99,06/27/19 11:18,"486 13th St, Boston, MA 02215",11,1
22,209942,27in 4K Gaming Monitor,1,389.99,06/19/19 13:52,"874 Wilson St, Austin, TX 73301",12,73
23,209943,AAA Batteries (4-pack),3,2.99,06/23/19 16:19,"158 Willow St, Los Angeles, CA 90001",51,25
24,209944,27in FHD Monitor,1,149.99,06/02/19 19:10,"916 Lake St, Austin, TX 73301",90,62
25,209945,AA Batteries (4-pack),1,3.84,06/28/19 08:53,"211 12th St, San Francisco, CA 94016",32,57
26,209946,Google Phone,1,600.0,06/28/19 22:13,"66 Cherry St, San Francisco, CA 94016",44,35
27,209947,Apple Airpods Headphones,1,150.0,06/06/19 22:41,"7 Lakeview St, San Francisco, CA 94016",74,56
28,209948,Macbook Pro Laptop,1,1700.0,06/09/19 01:48,"101 Spruce St, Atlanta, GA 30301",98,7
29,209949,Google Phone,1,600.0,06/23/19 07:45,"637 12th St, San Francisco, CA 94016",7,9
30,209949,USB-C Charging Cable,1,11.95,06/23/19 07:45,"637 12th St, San Francisco, CA 94016",91,64
31,209950,Wired Headphones,2,11.99,06/01/19 18:03,"689 Walnut St, Los Angeles, CA 90001",45,61
32,209951,27in 4K Gaming Monitor,1,389.99,06/30/19 13:04,"998 Johnson St, New York City, NY 10001",48,19
33,209952,20in Monitor,1,109.99,06/26/19 17:48,"314 Willow St, Dallas, TX 75001",88,69
34,209953,Google Phone,1,600.0,06/16/19 16:59,"753 6th St, Dallas, TX 75001",68,52
35,209954,iPhone,1,700.0,06/16/19 07:21,"599 2nd St, San Francisco, CA 94016",94,81
