,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,x_t,perf
0,150502,iPhone,1,700,02/18/19 01:35,"866 Spruce St, Portland, ME 04101",46,98
1,150503,AA Batteries (4-pack),1,3.84,02/13/19 07:24,"18 13th St, San Francisco, CA 94016",36,30
2,150504,27in 4K Gaming Monitor,1,389.99,02/18/19 09:46,"52 6th St, New York City, NY 10001",36,76
3,150505,Lightning Charging Cable,1,14.95,02/02/19 16:47,"129 Cherry St, Atlanta, GA 30301",60,61
4,150506,AA Batteries (4-pack),2,3.84,02/28/19 20:32,"548 Lincoln St, Seattle, WA 98101",74,41
5,150507,Lightning Charging Cable,1,14.95,02/24/19 18:50,"387 12th St, Austin, TX 73301",39,33
6,150508,AA Batteries (4-pack),1,3.84,02/21/19 19:26,"622 Center St, San Francisco, CA 94016",20,36
7,150509,Apple Airpods Headphones,1,150,02/26/19 19:53,"921 6th St, Seattle, WA 98101",68,98
8,150510,USB-C Charging Cable,1,11.95,02/17/19 21:48,"451 2nd St, Los Angeles, CA 90001",43,83
9,150511,USB-C Charging Cable,1,11.95,02/22/19 07:36,"689 River St, San Francisco, CA 94016",2,90
10,150512,Bose SoundSport Headphones,1,99.99,02/17/19 18:29,"198 Center St, Los Angeles, CA 90001",13,24
11,150513,Bose SoundSport Headphones,1,99.99,02/25/19 20:49,"777 Spruce St, Los Angeles, CA 90001",58,43
12,150514,27in FHD Monitor,1,149.99,02/03/19 00:21,"723 Wilson St, Los Angeles, CA 90001",34,86
13,150515,Apple Airpods Headphones,1,150,02/18/19 14:53,"101 13th St, New York City, NY 10001",6,97
14,150516,Lightning Charging Cable,1,14.95,02/20/19 12:29,"303 Sunset St, Atlanta, GA 30301",34,57
15,150517,Wired Headphones,1,11.99,02/08/19 12:57,"471 13th St, San Francisco, CA 94016",91,17
16,150518,Macbook Pro Laptop,1,1700,02/26/19 12:38,"847 10th St, San Francisco, CA 94016",41,68
17,150518,iPhone,1,700,02/26/19 12:38,"847 10th St, San Francisco, CA 94016",14,44
18,150519,Wired Headphones,1,11.99,02/23/19 13:25,"111 Hill St, Dallas, TX 75001",85,73
19,150520,AA Batteries (4-pack),2,3.84,02/27/19 14:39,"512 Church St, Dallas, TX 75001",82,17
20,150521,Flatscreen TV,1,300,02/27/19 20:07,"588 1st St, Los Angeles, CA 90001",40,93
21,150522,20in Monitor,1,109.99,02/12/19 00:00,"633 Cherry St, Boston, MA 02215",3,79
22,150523,LG Dryer,1,600,02/27/19 20:24,"452 8th St, San Francisco, CA 94016",71,41
23,150524,Wired Headphones,1,11.99,02/28/19 13:47,"311 8th St, Austin, TX 73301",9,77
24,150525,20in Monitor,1,109.99,02/25/19 09:38,"874 Jefferson St, San Francisco, CA 94016",84,8
25,150526,AAA Batteries (4-pack),1,2.99,02/15/19 11:31,"85 Park St, Boston, MA 02215",31,80
26,150527,USB-C Charging Cable,1,11.95,02/07/19 14:33,"165 Jefferson St, Los Angeles, CA 90001",22,35
27,150528,AAA Batteries (4-pack),2,2.99,02/26/19 23:17,"426 Lake St, Los Angeles, CA 90001",90,46
28,150529,AA Batteries (4-pack),4,3.84,02/11/19 13:10,"116 Elm St, Seattle, WA 98101",65,73
29,150530,ThinkPad Laptop,1,999.99,02/05/19 14:19,"752 Park St, Los Angeles, CA 90001",54,85
30,150531,USB-C Charging Cable,1,11.95,02/28/19 18:16,"457 Maple St, Los Angeles, CA 90001",83,32
31,150532,USB-C Charging Cable,1,11.95,02/04/19 22:57,"645 Walnut St, San Francisco, CA 94016",22,6
32,150533,AAA Batteries (4-pack),1,2.99,03/01/19 03:06,"270 Dogwood St, San Francisco, CA 94016",98,31
33,150534,AAA Batteries (4-pack),2,2.99,02/12/19 22:02,"246 9th St, Los Angeles, CA 90001",31,66
34,150535,AAA Batteries (4-pack),1,2.99,02/21/19 11:46,"961 2nd St, San Francisco, CA 94016",43,37
35,150536,Wired Headphones,1,11.99,02/13/19 22:43,"134 8th St, Los Angeles, CA 90001",5,8
36,150537,Wired Headphones,1,11.99,02/23/19 13:31,"437 12th St, San Francisco, CA 94016",92,78
37,150538,Apple Airpods Headphones,1,150,02/22/19 17:28,"553 12th St, Atlanta, GA 30301",31,15
38,150539,AA Batteries (4-pack),2,3.84,02/18/19 16:46,"103 14th St, San Francisco, CA 94016",84,26
39,150540,Apple Airpods Headphones,1,150,02/18/19 15:23,"218 Ridge St, Atlanta, GA 30301",7,38
40,150541,AAA Batteries (4-pack),1,2.99,03/01/19 01:03,"683 Adams St, Portland, OR 97035",71,58
41,150542,AA Batteries (4-pack),1,3.84,02/02/19 19:46,"517 10th St, Austin, TX 73301",62,63
42,150543,Wired Headphones,1,11.99,02/08/19 09:21,"268 Sunset St, Boston, MA 02215",30,20
43,150544,Lightning Charging Cable,1,14.95,02/10/19 17:19,"723 Elm St, Los Angeles, CA 90001",19,80
44,150545,Macbook Pro Laptop,1,1700,02/25/19 20:35,"905 Meadow St, Atlanta, GA 30301",79,23
45,150546,AAA Batteries (4-pack),1,2.99,02/07/19 14:01,"43 1st St, Atlanta, GA 30301",68,64
46,150547,AAA Batteries (4-pack),1,2.99,02/06/19 17:51,"511 Washington St, San Francisco, CA 94016",39,78
47,150548,Macbook Pro Laptop,1,1700,02/18/19 22:56,"750 Forest St, Boston, MA 02215",53,7
48,150549,iPhone,1,700,02/05/19 20:33,"522 West St, Boston, MA 02215",84,17
49,150550,ThinkPad Laptop,1,999.99,02/17/19 14:45,"261 Washington St, Los Angeles, CA 90001",59,46
50,150551,27in 4K Gaming Monitor,1,389.99,02/02/19 08:25,"726 West St, Seattle, WA 98101",1,90
51,150552,Wired Headphones,1,11.99,02/21/19 19:06,"954 13th St, Boston, MA 02215",59,72
52,150553,34in Ultrawide Monitor,1,379.99,02/20/19 21:42,"700 1st St, Dallas, TX 75001",85,6
53,150554,AA Batteries (4-pack),1,3.84,02/12/19 06:49,"33 Johnson St, New York City, NY 10001",64,36
54,150555,27in FHD Monitor,1,149.99,02/18/19 11:27,"714 Adams St, Portland, OR 97035",43,92
55,150556,Lightning Charging Cable,1,14.95,02/10/19 13:25,"419 Hill St, Los Angeles, CA 90001",20,34
56,150557,AA Batteries (4-pack),2,3.84,02/22/19 21:41,"372 5th St, Seattle, WA 98101",89,74
57,150558,Wired Headphones,1,11.99,02/04/19 16:09,"864 Hickory St, Boston, MA 02215",26,43
58,150559,Apple Airpods Headphones,1,150,02/07/19 23:41,"506 Willow St, Boston, MA 02215",90,17
59,150560,Apple Airpods Headphones,1,150,02/05/19 14:29,"178 14th St, San Francisco, CA 94016",16,34
60,150561,Wired Headphones,1,11.99,02/22/19 17:55,"888 Jefferson St, New York City, NY 10001",70,16
61,150562,27in 4K Gaming Monitor,1,389.99,02/16/19 20:07,"663 1st St, Atlanta, GA 30301",74,40
62,150563,iPhone,1,700,02/20/19 02:09,"631 Pine St, San Francisco, CA 94016",37,51
63,150564,USB-C Charging Cable,1,11.95,02/28/19 13:55,"579 9th St, Atlanta, GA 30301",12,14
64,150565,Wired Headphones,1,11.99,02/24/19 19:08,"406 Lincoln St, Seattle, WA 98101",53,28
65,150566,27in FHD Monitor,1,149.99,02/21/19 18:30,"230 Pine St, Los Angeles, CA 90001",79,63
66,150567,Apple Airpods Headphones,1,150,02/26/19 16:12,"466 South St, Dallas, TX 75001",56,15
67,150568,Wired Headphones,1,11.99,02/15/19 22:49,"651 Johnson St, New York City, NY 10001",15,63
68,150569,AA Batteries (4-pack),3,3.84,02/04/19 13:11,"981 Lake St, Seattle, WA 98101",62,66
69,150570,Wired Headphones,1,11.99,02/18/19 18:12,"786 Meadow St, San Francisco, CA 94016",46,37
70,150571,Lightning Charging Cable,1,14.95,02/23/19 22:41,"571 Hickory St, San Francisco, CA 94016",77,45
71,150572,27in FHD Monitor,1,149.99,02/06/19 07:38,"523 Spruce St, Atlanta, GA 30301",44,78
72,150573,Apple Airpods Headphones,1,150,02/25/19 11:32,"455 Highland St, Los Angeles, CA 90001",9,77
73,150574,Lightning Charging Cable,1,14.95,02/17/19 19:51,"25 7th St, Portland, OR 97035",32,80
74,150575,AA Batteries (4-pack),1,3.84,02/10/19 11:44,"776 Elm St, Los Angeles, CA 90001",40,62
75,,,,,,,84,19
76,150576,Bose SoundSport Headphones,1,99.99,02/02/19 01:33,"43 South St, San Francisco, CA 94016",76,86
77,150577,AA Batteries (4-pack),1,3.84,02/25/19 13:27,"122 Spruce St, Seattle, WA 98101",2,14
78,150578,USB-C Charging Cable,1,11.95,02/06/19 19:05,"193 Pine St, San Francisco, CA 94016",60,26
79,150579,USB-C Charging Cable,1,11.95,02/27/19 20:11,"320 North St, Los Angeles, CA 90001",6,46
80,150580,AA Batteries (4-pack),1,3.84,02/11/19 22:06,"399 5th St, New York City, NY 10001",35,7
81,150581,AA Batteries (4-pack),1,3.84,02/21/19 19:51,"144 Washington St, Seattle, WA 98101",65,32
82,150582,iPhone,1,700,02/16/19 23:38,"678 Maple St, Seattle, WA 98101",98,85
83,150582,Lightning Charging Cable,1,14.95,02/16/19 23:38,"678 Maple St, Seattle, WA 98101",38,64
84,150583,27in FHD Monitor,1,149.99,02/01/19 20:56,"159 Maple St, Seattle, WA 98101",76,13
85,150584,AAA Batteries (4-pack),1,2.99,02/24/19 21:41,"971 Park St, Boston, MA 02215",18,49
86,150585,USB-C Charging Cable,1,11.95,02/16/19 14:04,"55 Walnut St, Seattle, WA 98101",81,15
87,150586,Apple Airpods Headphones,1,150,02/12/19 19:25,"671 12th St, San Francisco, CA 94016",28,56
88,150587,Lightning Charging Cable,1,14.95,02/11/19 17:43,"290 Meadow St, Seattle, WA 98101",27,95
89,150588,AAA Batteries (4-pack),2,2.99,02/09/19 09:33,"823 Cedar St, Los Angeles, CA 90001",75,55
90,150589,Flatscreen TV,1,300,02/24/19 12:02,"123 Washington St, San Francisco, CA 94016",90,94
91,150590,Apple Airpods Headphones,1,150,02/08/19 09:35,"196 River St, San Francisco, CA 94016",66,91
92,150590,AAA Batteries (4-pack),1,2.99,02/08/19 09:35,"196 River St, San Francisco, CA 94016",98,10
93,150591,AAA Batteries (4-pack),1,2.99,02/12/19 15:29,"362 Main St, Portland, OR 97035",64,37
94,150592,USB-C Charging Cable,1,11.95,02/02/19 09:27,"756 6th St, Los Angeles, CA 90001",42,91
95,150593,Bose SoundSport Headphones,1,99.99,02/15/19 16:58,"441 Park St, New York City, NY 10001",46,68
96,150594,USB-C Charging Cable,1,11.95,02/19/19 18:54,"286 8th St, San Francisco, CA 94016",53,7
97,150595,USB-C Charging Cable,1,11.95,02/12/19 06:12,"734 Cherry St, San Francisco, CA 94016",36,91
98,150596,AAA Batteries (4-pack),1,2.99,02/07/19 14:38,"724 Ridge St, Dallas, TX 75001",10,44
99,150597,USB-C Charging Cable,1,11.95,02/18/19 16:08,"758 Lincoln St, Boston, MA 02215",25,20
100,150598,Wired Headphones,1,11.99,02/21/19 15:25,"841 12th St, Boston, MA 02215",77,73
101,150599,20in Monitor,1,109.99,02/19/19 12:08,"677 South St, Atlanta, GA 30301",87,46
102,150600,AA Batteries (4-pack),1,3.84,02/11/19 00:57,"353 11th St, San Francisco, CA 94016",10,34
103,150601,AAA Batteries (4-pack),2,2.99,02/16/19 13:24,"24 Highland St, Atlanta, GA 30301",27,93
104,150602,Apple Airpods Headphones,1,150,02/11/19 09:44,"207 Wilson St, Los Angeles, CA 90001",86,45
105,150603,USB-C Charging Cable,1,11.95,02/18/19 14:44,"772 Johnson St, Seattle, WA 98101",84,88
106,150604,AA Batteries (4-pack),1,3.84,02/26/19 17:09,"125 Hickory St, Atlanta, GA 30301",47,44
107,150605,USB-C Charging Cable,1,11.95,02/06/19 14:27,"443 Park St, San Francisco, CA 94016",32,77
108,150606,AA Batteries (4-pack),1,3.84,02/28/19 10:17,"810 Madison St, Atlanta, GA 30301",13,0
109,150607,Lightning Charging Cable,1,14.95,02/27/19 19:36,"469 Church St, San Francisco, CA 94016",50,4
110,150608,ThinkPad Laptop,1,999.99,02/20/19 11:53,"383 10th St, San Francisco, CA 94016",37,70
111,150609,USB-C Charging Cable,1,11.95,02/09/19 20:23,"403 North St, New York City, NY 10001",54,57
112,150610,27in FHD Monitor,1,149.99,02/19/19 10:42,"409 Church St, Boston, MA 02215",99,60
113,150611,AAA Batteries (4-pack),1,2.99,02/04/19 16:49,"961 5th St, Portland, OR 97035",17,45
114,150612,USB-C Charging Cable,1,11.95,02/28/19 20:14,"321 7th St, Los Angeles, CA 90001",90,88
115,150613,AA Batteries (4-pack),1,3.84,02/08/19 13:05,"198 Walnut St, Los Angeles, CA 90001",82,27
116,150614,AA Batteries (4-pack),2,3.84,02/05/19 17:18,"709 Cedar St, Boston, MA 02215",29,34
117,150615,27in FHD Monitor,1,149.99,02/27/19 13:34,"814 Highland St, New York City, NY 10001",39,38
118,150616,27in 4K Gaming Monitor,1,389.99,02/05/19 20:35,"985 Jackson St, Portland, OR 97035",79,56
119,150617,Google Phone,1,600,02/25/19 00:02,"551 Sunset St, New York City, NY 10001",8,89
120,150617,USB-C Charging Cable,1,11.95,02/25/19 00:02,"551 Sunset St, New York City, NY 10001",0,95
121,150618,USB-C Charging Cable,1,11.95,02/24/19 12:20,"659 8th St, Portland, OR 97035",70,8
122,150619,USB-C Charging Cable,1,11.95,02/17/19 17:23,"529 Madison St, Los Angeles, CA 90001",70,7
123,150620,Apple Airpods Headphones,1,150,02/07/19 15:12,"808 1st St, Los Angeles, CA 90001",38,0
124,150621,AA Batteries (4-pack),1,3.84,02/05/19 13:01,"173 Dogwood St, Boston, MA 02215",14,90
125,150622,34in Ultrawide Monitor,1,379.99,02/12/19 16:05,"230 Washington St, Boston, MA 02215",26,28
126,150623,iPhone,1,700,02/05/19 22:46,"96 7th St, Seattle, WA 98101",86,24
127,150624,34in Ultrawide Monitor,1,379.99,02/16/19 09:59,"582 Wilson St, Los Angeles, CA 90001",13,99
128,150625,AAA Batteries (4-pack),1,2.99,02/21/19 14:54,"19 5th St, New York City, NY 10001",56,48
129,150626,AA Batteries (4-pack),2,3.84,02/26/19 23:55,"464 Center St, Dallas, TX 75001",7,18
130,150627,USB-C Charging Cable,1,11.95,02/17/19 07:01,"106 10th St, Portland, OR 97035",21,89
131,150628,Lightning Charging Cable,2,14.95,02/25/19 17:22,"206 Spruce St, San Francisco, CA 94016",6,18
